time,brake,rpm,speed
53.606,0,0.721675995,0.398539519
53.618,0,0.721675995,0.400085911
53.63,0,0.72243231,0.400945017
53.642,0,0.72243231,0.403178694
53.654,0,0.723793677,0.402491409
53.666,0,0.723793677,0.404037801
53.678,0,0.72742399,0.40524055
53.69,0,0.72742399,0.40532646
53.702,0,0.726062623,0.407130584
53.714,0,0.726062623,0.408075601
53.726,0,0.726667675,0.407388316
53.739,0,0.726667675,0.410051546
53.75,0,0.726667675,0.410223368
53.763,0,0.726667675,0.411769759
53.775,0,0.728936621,0.412628866
53.787,0,0.730297988,0.415034364
53.8,0,0.730297988,0.414604811
53.811,0,0.731054303,0.416580756
53.823,0,0.731054303,0.416494845
53.835,0,0.731810619,0.418298969
53.847,0,0.731810619,0.417783505
53.859,0,0.731054303,0.419072165
53.871,0,0.731054303,0.420189003
53.883,0,0.731810619,0.422079038
53.895,0,0.731810619,0.421735395
53.907,0,0.734079564,0.423281787
53.919,0,0.734079564,0.425
53.931,0,0.733323249,0.425773196
53.944,0,0.733323249,0.427491409
53.956,0,0.733323249,0.427491409
53.968,0,0.733323249,0.427233677
53.98,0,0.734079564,0.429810997
53.992,0,0.734079564,0.429810997
54.004,0,0.73634851,0.429037801
54.016,0,0.73634851,0.433505155
54.029,0,0.737104825,0.432216495
54.04,0,0.737104825,0.43419244
54.052,0,0.737861141,0.435738832
54.064,0,0.737861141,0.436082474
54.076,0,0.738617456,0.437199313
54.088,0,0.738617456,0.437714777
54.1,0,0.739978823,0.436426117
54.112,0,0.739978823,0.439604811
54.124,0,0.740735138,0.439948454
54.137,0,0.740735138,0.440549828
54.148,0,0.743004084,0.443127148
54.16,0,0.743004084,0.443213058
54.173,0,0.743911662,0.444415808
54.185,0,0.743911662,0.445274914
54.197,0,0.744667978,0.446735395
54.209,0,0.744667978,0.446563574
54.221,0,0.746180608,0.44742268
54.233,0,0.746180608,0.448367698
54.245,0,0.746936923,0.450171821
54.257,0,0.746936923,0.450601375
54.269,0,0.748449554,0.451202749
54.281,0,0.748449554,0.453092784
54.294,0,0.748449554,0.45257732
54.305,0,0.748449554,0.454982818
54.318,0,0.746936923,0.455498282
54.329,0,0.748449554,0.456271478
54.341,0,0.748449554,0.458075601
54.353,0,0.751474815,0.457216495
54.365,0,0.751474815,0.459536082
54.378,0,0.749962184,0.459707904
54.39,0,0.749962184,0.460738832
54.402,0,0.751474815,0.461426117
54.414,0,0.751474815,0.461941581
54.426,0,0.751474815,0.463917526
54.438,0,0.751474815,0.464347079
